iter	Passed	Remaining
546	33680	27892
547	33736	27826
548	33796	27763
549	33860	27704
550	33926	27645
551	33991	27587
552	34054	27527
553	34130	27476
554	34198	27420
555	34272	27368
556	34341	27313
557	34409	27256
558	34467	27191
559	34521	27124
560	34579	27059
561	34639	26996
562	34695	26930
563	34751	26864
564	34806	26797
565	34865	26734
566	34922	26668
567	34975	26601
568	35030	26534
569	35099	26478
570	35173	26426
571	35247	26373
572	35314	26316
573	35375	26254
574	35433	26190
575	35491	26126
576	35548	26060
577	35615	26002
578	35672	25937
579	35726	25870
580	35782	25805
581	35836	25738
582	35888	25669
583	35941	25602
584	35999	25538
585	36054	25472
586	36119	25412
587	36177	25348
588	36242	25289
589	36303	25227
590	36352	25157
591	36411	25094
592	36475	25034
593	36542	24976
594	36612	24921
595	36676	24860
596	36727	24792
597	36785	24728
598	36837	24661
599	36892	24594
600	36944	24527
601	37002	24463
602	37055	24396
603	37119	24336
604	37179	24274
605	37240	24212
606	37305	24153
607	37373	24096
608	37440	24038
609	37501	23976
610	37557	23911
611	37610	23844
612	37665	23778
613	37721	23714
614	37777	23649
615	37829	23581
616	37889	23519
617	37952	23459
618	38012	23396
619	38070	23333
620	38134	23273
621	38192	23210
622	38247	23144
623	38309	23084
624	38368	23021
625	38420	22954
626	38473	22887
627	38533	22825
628	38587	22759
629	38644	22695
630	38716	22640
631	38785	22584
632	38853	22526
633	38921	22468
634	38986	22409
635	39068	22360
636	39135	22301
637	39190	22236
638	39244	22171
639	39304	22108
640	39357	22042
641	39410	21976
642	39465	21911
643	39539	21857
644	39608	21800
645	39679	21743
646	39738	21680
647	39796	21618
648	39856	21555
649	39910	21490
650	39970	21428
651	40024	21362
652	40077	21297
653	40141	21236
654	40199	21173
655	40257	21110
656	40318	21049
657	40382	20988
658	40443	20927
659	40507	20867
660	40568	20805
661	40632	20745
662	40686	20680
663	40742	20616
664	40804	20555
665	40860	20491
666	40927	20432
667	41000	20377
668	41072	20321
669	41135	20260
670	41190	20196
671	41247	20132
672	41304	20069
673	41368	20009
674	41423	19944
675	41483	19882
676	41537	19817
677	41593	19754
678	41652	19691
679	41716	19631
680	41788	19574
681	41855	19516
682	41915	19454
683	41972	19391
684	42026	19326
685	42085	19263
686	42148	19203
687	42209	19141
688	42265	19077
689	42322	19014
690	42377	18950
691	42432	18886
692	42489	18822
693	42547	18760
694	42604	18696
695	42658	18632
696	42711	18567
697	42771	18505
698	42826	18441
699	42879	18376
700	42935	18313
701	42987	18248
702	43050	18187
703	43120	18130
704	43193	18073
705	43263	18016
706	43320	17953
707	43373	17888
708	43429	17825
709	43490	17763
710	43550	17702
711	43609	17639
712	43663	17575
713	43715	17510
714	43772	17447
715	43825	17383
716	43884	17321
717	43955	17263
718	44022	17204
719	44096	17148
720	44156	17086
721	44211	17023
722	44268	16960
723	44324	16897
724	44375	16832
725	44435	16770
726	44490	16707
727	44546	16643
728	44604	16581
729	44658	16517
730	44717	16455
731	44774	16392
732	44837	16332
733	44895	16270
734	44950	16206
735	45009	16144
736	45066	16081
737	45131	16022
738	45190	15960
739	45248	15898
740	45313	15838
741	45388	15781
742	45460	15724
743	45524	15664
744	45591	15605
745	45655	15544
746	45710	15481
747	45766	15418
748	45816	15353
749	45868	15289
750	45921	15225
751	45981	15163
752	46033	15099
753	46096	15039
754	46171	14982
755	46238	14923
756	46309	14865
757	46368	14803
758	46426	14741
759	46487	14680
760	46552	14620
761	46610	14558
762	46665	14495
763	46722	14432
764	46779	14370
765	46842	14309
766	46904	14248
767	46959	14185
768	47011	14121
769	47068	14059
770	47129	13998
771	47191	13937
772	47246	13874
773	47302	13811
774	47353	13747
775	47412	13686
776	47465	13622
777	47523	13560
778	47592	13501
779	47660	13442
780	47728	13383
781	47784	13320
782	47841	13258
783	47894	13195
784	47952	13133
785	48013	13072
786	48072	13010
787	48142	12952
788	48198	12889
789	48261	12829
790	48319	12767
791	48384	12707
792	48455	12648
793	48528	12590
794	48586	12528
795	48642	12466
796	48695	12403
797	48751	12340
798	48803	12277
799	48867	12216
800	48924	12154
801	48983	12093
802	49043	12031
803	49114	11973
804	49170	11910
805	49232	11849
806	49293	11788
807	49346	11725
808	49396	11662
809	49450	11599
810	49504	11536
811	49569	11476
812	49628	11415
813	49683	11352
814	49752	11293
815	49827	11235
816	49892	11175
817	49952	11114
818	50003	11050
819	50059	10988
820	50127	10929
821	50186	10867
822	50249	10806
823	50303	10744
824	50358	10682
825	50415	10620
826	50472	10558
827	50527	10496
828	50602	10437
829	50676	10379
830	50749	10320
831	50802	10258
832	50855	10195
833	50909	10132
834	50962	10070
835	51016	10008
836	51088	9949
837	51147	9887
838	51206	9826
839	51258	9763
840	51312	9701
841	51374	9640
842	51442	9580
843	51513	9521
844	51578	9461
845	51641	9400
846	51696	9338
847	51758	9277
848	51815	9215
849	51870	9153
850	51922	9091
851	52001	9033
852	52076	8974
853	52146	8914
854	52199	8852
855	52256	8790
856	52311	8728
857	52373	8667
858	52429	8606
859	52486	8544
860	52545	8482
861	52608	8422
862	52665	8360
863	52718	8298
864	52782	8237
865	52846	8177
866	52918	8117
867	52977	8056
868	53032	7994
869	53100	7934
870	53162	7873
871	53221	7812
872	53276	7750
873	53329	7688
874	53385	7626
875	53437	7564
876	53488	7501
877	53546	7440
878	53607	7379
879	53664	7317
880	53721	7256
881	53773	7194
882	53827	7132
883	53882	7070
884	53942	7009
885	53997	6947
886	54063	6887
887	54133	6827
888	54201	6767
889	54267	6707
890	54338	6647
891	54395	6586
892	54450	6524
893	54510	6463
894	54569	6401
895	54629	6340
896	54693	6280
897	54749	6218
898	54801	6156
899	54857	6095
900	54926	6035
901	54993	5974
902	55061	5914
903	55138	5855
904	55205	5795
905	55264	5733
906	55324	5672
907	55380	5611
908	55434	5549
909	55495	5488
910	55557	5427
911	55621	5367
912	55679	5305
913	55739	5244
